ID товара;Название препарата;Рецептурность препарата;Производитель;Активное вещество;Цена;Старая цена;Ссылка на картинку;Ссылка на товар;Название региона
c400451e-3c00-40ab-9a3e-cc2258527b9b;Вилдус Таблетки 50 мг 56 шт;Да;Белупо;Вилдаглиптин;885.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/yuqQupUBu1bHOSl19nX2-3107x2496;https://gorzdrav.org/spb/p/vildus-tab-50mg-56-644695/;Хорватия
37b08a6e-6052-43cf-b7f5-b190773a1da4;Вилдаглиптин-Вертекс Таблетки 50 мг 28 шт;Да;Вертекс;Вилдаглиптин;589.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/lDUtu5UBAi6hE-ZkjayK-721x364;https://gorzdrav.org/spb/p/vildagliptinverteks-0-05-n28-tabl-656335/;Россия
4bc50808-0cf9-429b-9414-18e7a048f119;Ситамет Медисорб Таблетки 1000 мг + 50 мг 60 шт;Да;Медисорб;Метформин+Ситаглиптин;1455.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/O9BnfJkBUcRdFyL1Y8bz-477x364;https://gorzdrav.org/spb/p/sitamet-medisorb-1-0-0-05-n60-tabl-p-plen-oboloch-blister-666037/;Россия
6e306b8b-7c17-4a93-9ef5-1edbfad53ee6;Випдомет 850 мг Таблетки покрытые пленочной оболочкой 12,5 мг + 850 мг 56 шт;Да;Штада;Алоглиптин+Метформин;3180.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/Owg_uZUB4hniyrJCXMu4-1400x866;https://gorzdrav.org/spb/p/vipdomet-tabl-p-pl-o-12-5mg-850mg-n56-300579/;Россия
48f5530f-e1ee-4dc5-a725-819097a9f0f2;Амарил таблетки 2 мг 90 шт;Да;Санофи;Глимепирид;2867.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ALDMtZUB4hniyrJC7AE_-1500x1500;https://gorzdrav.org/spb/p/amaril-tabl-2mg-n90-39594/;Италия
a45232c9-63d9-46ba-8d8e-548e31e6367d;Биосулин Н Суспензия для подкожного введения 100 МЕ/мл 10 мл 1 шт;Да;Фармстандарт;Инсулин-изофан [человеческий генно-инженерный];597.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/s-_gtZUB4hniyrJCPHjw-377x690;https://gorzdrav.org/spb/p/biosulin-n-susp-p-k-100ed-ml-10ml-fl-1-40996/;Россия
b427de57-4c6f-4fdd-99c5-3e5fd76c8aad;Энлигрия Раствор для подкожного введения 6 мг/мл 3 мл шприц-ручка 1 шт;Да;МЕДСИНТЕЗ ЗАВОД;Лираглутид;7833.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/QAZBbpsBOkTyP3bfbO7p-940x937;https://gorzdrav.org/spb/p/enligrija-0-006-ml-3ml-n1-shpricruchka-rr-p-k-665712/;Россия
80dd3e85-139d-49a3-8d64-214262fd4796;Ринсулин НПХ Суспензия для подкожного введения картридж 100 ме/мл 3 мл 5 шт;Да;Герофарм;Инсулин-изофан [человеческий генно-инженерный];1029.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/SUDgt5UBybk0vr4zoFgm-550x550;https://gorzdrav.org/spb/p/rinsulin-npkh-susp-d-p-k-vv-100-me-ml-kartridzh-3ml-n5-194235/;Россия
768ac94a-aab9-480e-86ac-6fa851e0ee27;Диабефарм МВ Таблетки 60 мг 30 шт;Да;Фармакор Продакшн;Гликлазид;228.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/EET7oZYBC9g2bECqTW8j-4608x3456;https://gorzdrav.org/spb/p/diabefarm-mv-tabl-60mg-30-208425/;Россия
a0f901d5-f3d8-43ff-9d0a-f71cee5c219a;Вилдаглиптин Таблетки 50 мг 56 шт;Да;Hemofarm;Вилдаглиптин;1321.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/_f0vTZwBO1hvZDjOLu5a-1000x1000;https://gorzdrav.org/spb/p/vildagliptin-0-05-n56-tabl-669612/;Россия
f2aece0a-a5ec-4e5f-b304-363f9a6e4f35;Вилдаглиптин Таблетки 50 мг 28 шт;Да;Hemofarm;Вилдаглиптин;679.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/wjQrTZwBbjLDJSEj3aBC-1000x1000;https://gorzdrav.org/spb/p/vildagliptin-0-05-n28-tabl-669584/;Россия
dd5aee43-d9ba-4d8a-b71d-6cdc8a604aca;Глимепирид Таблетки 2 мг 30 шт;Да;Пранафарм;Глимепирид;317.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/_eQrTZwBO1hvZDjODh68-1000x1000;https://gorzdrav.org/spb/p/glimepirid-0-002-n30-tabl-667556/;Россия
1efee0a6-e81b-4355-a282-387f05861751;Сиглетик Таблетки покрытые пленочной оболочкой 100 мг 28 шт;Да;Акрихин;Ситаглиптин;913.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/d3xQupUBRjkwyzW3-WpE-1000x562;https://gorzdrav.org/spb/p/sigletik-0-1-n28-tabl-p-plen-oboloch-636735/;Палестина
5b6b2991-03ec-4b58-9858-dc2c9320e5bd;Глимепирид Таблетки 4 мг 30 шт;Да;Пранафарм;Глимепирид;403.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/zLIsTZwBbjLDJSEjSBDi-1000x675;https://gorzdrav.org/spb/p/glimepirid-tabl-4mg-n30-667566/;Россия
d2c1cee2-6a5c-4f5c-ba84-81b370869db1;Вилдарил Таблетки 50 мг 56 шт;Да;Велфарм;Вилдаглиптин;947.00;;;https://gorzdrav.org/spb/p/vildaril-tab-50mg-56-666793/;Россия
ad9353eb-f1aa-42eb-8ec1-b7a5f221641c;Квинсента Раствор для подкожного введения 1,34 мг/мл 0,25/0,5 мг/доза картридж в шприц-ручке 1,5 мл 1 шт + иглы 6 шт;Да;Промомед;Семаглутид;5009.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/x0yOupUBRjkwyzW3BD35-1588x995;https://gorzdrav.org/spb/p/kvinsentarrp-kvved-0-25-0-5mg-doza-1-5mlshpricruchka-1-vkomplektesiglami6sht-644479/;Россия
876ff113-54e9-4c37-a021-56152373f273;Липотиоксон Концентрат для приготовления раствора для инфузий 25 мг/мл 24 мл 5 шт;Да;Сотекс;Тиоктовая кислота;906.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/vcktu5UB5yfJBvc3i6os-600x600;https://gorzdrav.org/spb/p/lipotiokson-konc-d-prig-rra-d-inf-25mg-ml-amp-24ml-5-589429/;Россия
e3d75962-4166-4f1b-bbee-2451a4e8a7ba;Пурегон Пэн ручка-инжектор для введения лекарственных средств 1 шт;Да;МСД ФАРМАСЬЮТИКАЛС;;1539.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/p4ZgtZUB4hniyrJCGFPs-690x690;https://gorzdrav.org/spb/p/puregon-ruchka-n1-up-23207/;Соединенные Штаты Америки
419296df-0cb1-4688-9f8b-8e328636f4ff;Вилдус Таблетки 50 мг 28 шт;Да;Белупо;Вилдаглиптин;450.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/XdqRupUBu1bHOSl1ymdF-3001x2496;https://gorzdrav.org/spb/p/vildus-tab-50mg-28-645209/;Хорватия
25e9ccce-2288-43ea-aa9f-ad28460be898;Глибенкламид Таблетки 1,75 мг 120 шт;Да;Озон;Глибенкламид;130.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/lDSHyJkBBFTqaCxS8riB-500x278;https://gorzdrav.org/spb/p/glibenklamid-tab-1-75mg-120-588676/;Россия
312efee2-e33b-42cb-b5ce-65ac1599c1c4;Глимепирид Таблетки 2 мг 90 шт;Да;Пранафарм;Глимепирид;526.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/Tw4rTZwBOkTyP3bfyIQr-1000x1000;https://gorzdrav.org/spb/p/glimepirid-0-002-n90-tabl-blister-667518/;Россия
8416225b-f037-43fd-a229-8e5f798395e2;Ситадиаб МЕТ Таблетки 1000 мг + 50 мг 56 шт;Да;Гедеон Рихтер;Метформин+Ситаглиптин;1488.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/egwtTZwBO1hvZDjO5fmc-1000x693;https://gorzdrav.org/spb/p/sitadiab-met-1-0-0-05-n56-tabl-p-plen-oboloch-669112/;Венгрия
